"","Experiment","Person","Repetition","Time","X","Y","Z"
"40001","5","1","1","1",0.635834881672113,-1.09157263697578,22.3774620058636
"40002","5","1","1","2",0.620694263370022,-1.07720430595012,22.3688959693134
"40003","5","1","1","3",0.61854828586575,-1.08609431456429,22.3876334450798
"40004","5","1","1","4",0.569286680643517,-1.11674603565926,22.3923328553
"40005","5","1","1","5",0.481288862471749,-1.14948888049838,22.4193798857984
"40006","5","1","1","6",0.353476230871528,-1.18234983727667,22.4753043416558
"40007","5","1","1","7",0.304235010433528,-1.20411491399814,22.6535558401067
"40008","5","1","1","8",0.274740437648871,-1.24202565300249,22.8814604806314
"40009","5","1","1","9",0.308603456629056,-1.29167791561798,23.2027719970377
"40010","5","1","1","10",0.3933896589181,-1.37244264189113,23.6127981539144
"40011","5","1","1","11",0.538748484341653,-1.49117401382606,24.1323498599075
"40012","5","1","1","12",0.69738810813811,-1.64485424651523,24.7551481746154
"40013","5","1","1","13",0.826636962906166,-1.8372038003597,25.4407612857718
"40014","5","1","1","14",0.964974731122654,-2.05647169984471,26.2025020095741
"40015","5","1","1","15",1.11409674974199,-2.29907872756017,27.0427210474908
"40016","5","1","1","16",1.31162707878924,-2.55568062989294,27.9621279108187
"40017","5","1","1","17",1.54390013692626,-2.82123504775865,28.933668081196
"40018","5","1","1","18",1.81259118800349,-3.10539543005835,29.9712591953057
"40019","5","1","1","19",2.12939139523239,-3.40991529387603,31.0657516644124
"40020","5","1","1","20",2.49689361495414,-3.72401999597646,32.1923881038994
"40021","5","1","1","21",2.93571073043966,-4.04340297808962,33.3454890520269
"40022","5","1","1","22",3.43441153856413,-4.36713574343715,34.5171489902808
"40023","5","1","1","23",3.98855596465025,-4.68837386020813,35.7158675047496
"40024","5","1","1","24",4.59595249780419,-5.01568043126111,36.9210647589778
"40025","5","1","1","25",5.24461137125813,-5.35252555576346,38.1106884355691
"40026","5","1","1","26",5.93915595582552,-5.68992755678731,39.283580843607
"40027","5","1","1","27",6.66758769687782,-6.01746298808485,40.4401368256595
"40028","5","1","1","28",7.42687206750693,-6.34292723029839,41.5617872841939
"40029","5","1","1","29",8.24672319375423,-6.6728209526826,42.6310069941288
"40030","5","1","1","30",9.09899214649975,-6.9783579348087,43.6596211247637
"40031","5","1","1","31",9.98365255846803,-7.25423270997011,44.6530097692465
"40032","5","1","1","32",10.9162324390582,-7.50964484290908,45.6098844538517
"40033","5","1","1","33",11.9050556075078,-7.72137019586357,46.5129296156862
"40034","5","1","1","34",12.9461412636684,-7.91294913789953,47.3626473477102
"40035","5","1","1","35",14.0219424433421,-8.08656964837641,48.1642026397997
"40036","5","1","1","36",15.1433577971804,-8.22813351590292,48.9069528629328
